name;object_id;ЙНКХВЕЯРБН ОПХНЕДХМЕММШУ ро;ЙНКХВЕЯРБН ББНДНБ;СЯРЮМНБКЕММЮЪ ЛНЫМНЯРЭ;сЯРЮМНБКЕММЮЪ ЛНЫМНЯРЭ МЮ СВЮЯРЙЕ ЯЕРХ;ЙНКХВЕЯРБН ягн;МЮЯЕКЕМХЕ;ЙНКХВЕЯРБН ЪВЕЕЙ;ЮАНМЕМРЯЙЮЪ
по-20;;86;2;0;19380;2;669;23;0
ро-2001;;5;2;500;3300;0;48;10;1
ро-2002;;1;2;800;1600;0;96;12;1
ро-2003;;0;2;800;800;0;48;12;1
ро-2004;;5;2;800;3300;0;48;14;1
ро-2005;;5;2;500;3300;0;48;12;1
ро-2006;;3;2;800;2300;0;48;12;1
ро-2007;;3;2;500;2300;0;48;12;1
ро-2008;;3;2;500;2300;0;48;12;1
ро-2009;;3;2;500;2300;0;48;12;1
ро-2010;;5;2;500;3300;0;48;12;1
ро-2011;;5;2;500;3300;0;47;12;1
ро-2012;;0;2;500;500;0;47;6;1
йро-2013;;0;2;630;630;0;47;6;1
ро-2014;;2;2;2000;3600;0;0;14;1
ро-2015;;2;2;800;3600;2;0;8;1
ро-2016;;2;2;800;3600;0;0;8;1
йро-2017;;0;1;400;400;0;48;1;1
йро-2030;;0;1;1000;1000;0;0;1;1
йро-2031;;0;1;400;400;0;0;1;1
йро-2032;;0;1;100;100;0;0;1;1
ро-2029;;3;1;80;320;0;0;11;1
ро-2033;;3;2;80;320;0;0;8;1
ро-2034;;3;2;80;320;0;0;8;1
ро-1226;;3;2;80;320;0;0;10;1
йро-421;;0;1;160;160;0;0;1;0
йро-422;;0;1;160;160;0;0;1;0
йро-465;;0;1;100;100;0;0;1;0
йро-466ю;;0;1;250;250;0;0;1;1
йро-467а;;0;1;1000;1000;0;0;1;1
ро-2019;;5;2;500;4060;0;0;8;0
ро-2018;;5;2;500;4060;0;0;8;0
ро-2021;;5;2;1260;4060;0;0;12;0
ро-2022;;5;2;500;4060;0;0;6;0
ро-2023;;5;2;800;4060;0;0;8;0
ро-2024;;5;2;500;4060;0;0;6;0
про-68;;11;2;0;11420;0;1440;17;1
ро-6801;;2;2;1260;2260;0;131;8;1
ро-6802;;1;2;500;1000;0;131;8;1
ро-6803;;0;2;500;500;0;130;8;1
ро-6804;;7;2;500;9160;0;131;10;1
ро-6805;;7;2;1260;9160;0;131;8;1
ро-6807;;7;2;800;9160;0;131;8;1
ро-6810;;7;2;2000;9160;0;131;10;1
ро-6808;;7;2;800;9160;0;131;8;1
ро-6811;;7;2;1000;9160;0;131;8;1
ро-6809;;7;2;2000;9160;0;131;16;1
ро-6806;;7;2;800;9160;0;131;8;1
по-22;;6;2;25;11005;0;25;18;0
